item_id,Code,Product_Family,Variant,slug
6b1070504219,A-01-05-0078,eFlex Single Rack End Barrier,900 mm,eflex-single-rack-end-barrier-900-mm-a-01-05-0078
3a20b95e077a,A-01-05-0079,eFlex Single Rack End Barrier,1000 mm,eflex-single-rack-end-barrier-1000-mm-a-01-05-0079
4ef2119e74f8,A-01-05-0080,eFlex Single Rack End Barrier,1100 mm,eflex-single-rack-end-barrier-1100-mm-a-01-05-0080
9b1d6fb8540e,A-01-05-0081,eFlex Single Rack End Barrier,1200 mm,eflex-single-rack-end-barrier-1200-mm-a-01-05-0081
9546f9a75700,A-01-05-0082,eFlex Single Rack End Barrier,1300 mm,eflex-single-rack-end-barrier-1300-mm-a-01-05-0082
03ca3e067109,A-01-05-0083,eFlex Single Rack End Barrier,1400 mm,eflex-single-rack-end-barrier-1400-mm-a-01-05-0083
fa1c5e524e62,A-01-05-0084,eFlex Single Rack End Barrier,1500 mm,eflex-single-rack-end-barrier-1500-mm-a-01-05-0084
b55280b89008,A-01-05-0085,eFlex Single Rack End Barrier,1600 mm,eflex-single-rack-end-barrier-1600-mm-a-01-05-0085
5e925dc680eb,A-01-05-0086,eFlex Single Rack End Barrier,1700 mm,eflex-single-rack-end-barrier-1700-mm-a-01-05-0086
674f6181afdd,A-01-05-0087,eFlex Single Rack End Barrier,1800 mm,eflex-single-rack-end-barrier-1800-mm-a-01-05-0087
0c06c25718a2,A-01-05-0088,eFlex Single Rack End Barrier,1900 mm,eflex-single-rack-end-barrier-1900-mm-a-01-05-0088
311b9f2b7fab,A-01-05-0089,eFlex Single Rack End Barrier,2000 mm,eflex-single-rack-end-barrier-2000-mm-a-01-05-0089
77187ea8818f,A-01-05-0090,eFlex Single Rack End Barrier,2100 mm,eflex-single-rack-end-barrier-2100-mm-a-01-05-0090
12eec4008016,A-01-05-0091,eFlex Single Rack End Barrier,2200 mm,eflex-single-rack-end-barrier-2200-mm-a-01-05-0091
c0c2c364a629,A-01-05-0092,eFlex Single Rack End Barrier,2300 mm,eflex-single-rack-end-barrier-2300-mm-a-01-05-0092
394e9ac0df3a,A-01-05-0093,eFlex Single Rack End Barrier,2400 mm,eflex-single-rack-end-barrier-2400-mm-a-01-05-0093
12f6360ae21e,A-01-05-0094,eFlex Single Rack End Barrier,2500 mm,eflex-single-rack-end-barrier-2500-mm-a-01-05-0094
135c7b7e46a0,A-01-05-0095,eFlex Single Rack End Barrier,2600 mm,eflex-single-rack-end-barrier-2600-mm-a-01-05-0095
c70c84de6e05,A-01-05-0193,eFlex Double Rack End Barrier,900 mm,eflex-double-rack-end-barrier-900-mm-a-01-05-0193
db276229b488,A-01-05-0194,eFlex Double Rack End Barrier,1000 mm,eflex-double-rack-end-barrier-1000-mm-a-01-05-0194
4a39f2051586,A-01-05-0195,eFlex Double Rack End Barrier,1100 mm,eflex-double-rack-end-barrier-1100-mm-a-01-05-0195
630258de98ee,A-01-05-0196,eFlex Double Rack End Barrier,1200 mm,eflex-double-rack-end-barrier-1200-mm-a-01-05-0196
5c9a74a16137,A-01-05-0197,eFlex Double Rack End Barrier,1300 mm,eflex-double-rack-end-barrier-1300-mm-a-01-05-0197
1d6215afd85e,A-01-05-0198,eFlex Double Rack End Barrier,1400 mm,eflex-double-rack-end-barrier-1400-mm-a-01-05-0198
a0b5e665cb6f,A-01-05-0199,eFlex Double Rack End Barrier,1500 mm,eflex-double-rack-end-barrier-1500-mm-a-01-05-0199
25225f392b2c,A-01-05-0200,eFlex Double Rack End Barrier,1600 mm,eflex-double-rack-end-barrier-1600-mm-a-01-05-0200
e3235ca369b2,A-01-05-0201,eFlex Double Rack End Barrier,1700 mm,eflex-double-rack-end-barrier-1700-mm-a-01-05-0201
51a9ebc1e054,A-01-05-0202,eFlex Double Rack End Barrier,1800 mm,eflex-double-rack-end-barrier-1800-mm-a-01-05-0202
29344dad4a22,A-01-05-0203,eFlex Double Rack End Barrier,1900 mm,eflex-double-rack-end-barrier-1900-mm-a-01-05-0203
91c5a8cc9050,A-01-05-0204,eFlex Double Rack End Barrier,2000 mm,eflex-double-rack-end-barrier-2000-mm-a-01-05-0204
c9566c853ef7,A-01-05-0205,eFlex Double Rack End Barrier,2100 mm,eflex-double-rack-end-barrier-2100-mm-a-01-05-0205
958bfbacbd8f,A-01-05-0206,eFlex Double Rack End Barrier,2200 mm,eflex-double-rack-end-barrier-2200-mm-a-01-05-0206
0d519e2c261b,A-01-05-0207,eFlex Double Rack End Barrier,2300 mm,eflex-double-rack-end-barrier-2300-mm-a-01-05-0207
