Code,Product_Family,Variant,Length_mm,Width_mm,Height_mm,OD_mm,OD_Size_mm,Price_AED,Image_URL,Joule_J,item_id,slug
A-01-05-0078,eFlex Single Rack End Barrier,900 mm,900.0,,900.0,,,2148.43,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,6b1070504219,eflex-single-rack-end-barrier-900-mm-a-01-05-0078
A-01-05-0079,eFlex Single Rack End Barrier,1000 mm,1000.0,,1000.0,,,2162.16,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,3a20b95e077a,eflex-single-rack-end-barrier-1000-mm-a-01-05-0079
A-01-05-0080,eFlex Single Rack End Barrier,1100 mm,1100.0,,1100.0,,,2173.7,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,4ef2119e74f8,eflex-single-rack-end-barrier-1100-mm-a-01-05-0080
A-01-05-0081,eFlex Single Rack End Barrier,1200 mm,1200.0,,1200.0,,,2187.12,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,9b1d6fb8540e,eflex-single-rack-end-barrier-1200-mm-a-01-05-0081
A-01-05-0082,eFlex Single Rack End Barrier,1300 mm,1300.0,,1300.0,,,2198.98,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,9546f9a75700,eflex-single-rack-end-barrier-1300-mm-a-01-05-0082
A-01-05-0083,eFlex Single Rack End Barrier,1400 mm,1400.0,,1400.0,,,2212.7,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,03ca3e067109,eflex-single-rack-end-barrier-1400-mm-a-01-05-0083
A-01-05-0084,eFlex Single Rack End Barrier,1500 mm,1500.0,,1500.0,,,2226.43,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,fa1c5e524e62,eflex-single-rack-end-barrier-1500-mm-a-01-05-0084
A-01-05-0085,eFlex Single Rack End Barrier,1600 mm,1600.0,,1600.0,,,2238.29,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,b55280b89008,eflex-single-rack-end-barrier-1600-mm-a-01-05-0085
A-01-05-0086,eFlex Single Rack End Barrier,1700 mm,1700.0,,1700.0,,,2251.39,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,5e925dc680eb,eflex-single-rack-end-barrier-1700-mm-a-01-05-0086
A-01-05-0087,eFlex Single Rack End Barrier,1800 mm,1800.0,,1800.0,,,2263.25,https://webcdn.asafe.com/media/uffsavyg/rack-end-guardrail-eflex-single.png?height=278&v=1d6f4c84a9d3f60&width=578,11600.0,674f6181afdd,eflex-single-rack-end-barrier-1800-mm-a-01-05-0087
