product_name,variant,impact_joules,impact_kN,vehicle_test,image_url,price_basis,price_aed,price_1_2_m,price_2_10_m,price_10_20_m,price_20p_m,currency,cold_storage,source
Atlas Double Traffic Barrier,,"30,200",,3.0 T @ 16 Km/h,https://webcdn.asafe.com/media/2948/atlas-double-traffic-barrier_qu.jpg,per linear metre,,3462.2,2867.09,2560.61,2451.08,AED,False,Linear Metre Price List (2023 V4)
Atlas Double Traffic Barrier+,,,,,https://webcdn.asafe.com/media/2947/atlas-double-trafficplus-barrier_qu.jpg,per linear metre,,3781.17,3146.27,2711.38,2703.02,AED,False,Linear Metre Price List (2023 V4)
eFlex Single Traffic Barrier,,"20,400",,5.3 T @ 10 Km/h,https://webcdn.asafe.com/media/2990/reflex-single-traffic-barrier_qu.jpg,per linear metre,,1212.45,1008.88,941.33,909.87,AED,False,Linear Metre Price List (2023 V4)
eFlex Single Traffic Barrier+,,,,,https://webcdn.asafe.com/media/2989/reflex-single-traffic-plus-barrier_qu.jpg,per linear metre,,1640.18,1343.79,1244.89,1199.64,AED,False,Linear Metre Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -100mm x 100mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,2062.32,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -150mm x 150mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,2307.55,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -200mm x 200mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,2552.78,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -250mm x 250mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,2572.13,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -300mm x 300mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,2817.67,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -350mm x 350mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,3035.76,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -400mm x 400mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,3082.56,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -450mm x 450mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,3300.34,,,,,AED,False,Green Price List (2023 V4)
flexishield column guard,"FlexiShield Column Guard -500mm x 500mm, Yellow",,,,https://webcdn.asafe.com/media/3117/flexishieldcolumnguard08.jpg,per item,3518.42,,,,,AED,False,Green Price List (2023 V4)
